0103,2024-05-09 13:00:31,NO DATA
0104,2024-05-09 13:00:35,410402FA
0105,2024-05-09 13:00:38,41056E67
010B,2024-05-09 13:00:42,410BC6C5
010C,2024-05-09 13:00:45,410C1DFC19
010D,2024-05-09 13:00:49,410D5051
010E,2024-05-09 13:00:52,410EFF01
010F,2024-05-09 13:00:56,410F494C
0110,2024-05-09 13:00:59,411010869A
0111,2024-05-09 13:01:03,4111C3C8
0101,2024-05-09 13:01:06,410100000000F5
0103,2024-05-09 13:01:10,NO DATA
0104,2024-05-09 13:01:13,4104352D
0105,2024-05-09 13:01:17,41057069
010B,2024-05-09 13:01:21,410B6B6A
010C,2024-05-09 13:01:24,410C111C2D
010D,2024-05-09 13:01:28,410D2021
010E,2024-05-09 13:01:31,410EFF01
010F,2024-05-09 13:01:35,410F484B
0110,2024-05-09 13:01:38,4110224268
0111,2024-05-09 13:01:42,4111FF04
0101,2024-05-09 13:01:45,410100000000F5
0103,2024-05-09 13:01:49,NO DATA
0104,2024-05-09 13:01:52,410402FA
0105,2024-05-09 13:01:56,4105716A
010B,2024-05-09 13:01:59,410B6C6B
010C,2024-05-09 13:02:03,410C0D5461
010D,2024-05-09 13:02:06,410D4E4F
010E,2024-05-09 13:02:10,410EFF01
010F,2024-05-09 13:02:13,410F4A4D
0110,2024-05-09 13:02:17,411005262F
0111,2024-05-09 13:02:20,4111656A
0101,2024-05-09 13:02:24,410100000000F5
0103,2024-05-09 13:02:27,NO DATA
0104,2024-05-09 13:02:31,4104FFF7
0105,2024-05-09 13:02:34,41057069
010B,2024-05-09 13:02:38,410B9B9A
010C,2024-05-09 13:02:41,410C264C72
010D,2024-05-09 13:02:45,410D6F70
010E,2024-05-09 13:02:48,410EFF01
010F,2024-05-09 13:02:52,410F4B4E
0110,2024-05-09 13:02:55,4110193C59
0111,2024-05-09 13:02:59,4111C4C9
0101,2024-05-09 13:03:02,410100000000F5
0103,2024-05-09 13:03:06,NO DATA
0104,2024-05-09 13:03:09,41043C34
0105,2024-05-09 13:03:13,4105716A
010B,2024-05-09 13:03:16,410B908F
010C,2024-05-09 13:03:20,410C1FFC1B
010D,2024-05-09 13:03:23,410D5A5B
010E,2024-05-09 13:03:27,410EFF01
010F,2024-05-09 13:03:30,410F484B
0110,2024-05-09 13:03:34,41101888A4
